A A Mamun : professor, nuclear physicist, biochemist
John Lithgow : actres, producer, musical theatre actor
John Llewelyn : philosopher, scholar, cognitive scientist
John Lloyd Cruz : comedian, film actress, television actress
John Lloyd Wright : autobiographer, short story writer, fictional scientist
John Locke : philosopher, autobiographer, memoirist
John Loder (actor) : autobiographer, short story writer, novelist
John Lodge (archivist) : antiquarian, genealogist, autobiographer
John Longden : autobiographer, actres, musical theatre actor
John Longmuir : biographer, antiquarian, autobiographer
John Lord (historian) : autobiographer, memoirist, pseudoscientist
John Lothrop Motley : autobiographer, memoirist, essayist
John Lubbock, 1st Baron Avebury : autobiographer, biographer, pseudoscientist
John Lumia : guitarist, producer, singer-songwriter
John Lurie : record producer, autobiographer, short story writer
John M. Broughton : social sciences writer, essayist, short story writer
John M. Caie : autobiographer, biographer, horticulturists and gardener
John M. Cooper : short story writer, essayist, novelist
John M. Darby : short story writer, novelist, executive office
John M. Jackson : autobiographer, actres, short story writer
John M. Janzen : cultural anthropologist, professor, social sciences writer
John M. Johansen : architect, landscape architect, executive office
John M. Kelly (politician) : autobiographer, biographer, memoirist
John M. Riddle : pseudoscientist, philosopher, social sciences writer
John M. Walker, Jr. : legal scholar, autobiographer, president
John M. Whitall : novelist, autobiographer, diarist
John MacGregor (sportsman) : autobiographer, explorer, biographer
John Mackenzie, Lord MacLeod : earl, army officer, army general
John Mackintosh (Scottish politician) : autobiographer, biographer, theologian
John Maclear : royal navy admiral, explorer, navy admiral
John Macnaghten Whittaker : biographer, autobiographer, president
John Macreadie : autobiographer, prime minister, biographer
John Maddox : autobiographer, biographer, fictional scientist
John Mahoney : actres, autobiographer, musical theatre actor
John Major : autobiographer, prime minister, memoirist
John Major (philosopher) : philosopher, theologian, autobiographer
John Makepeace Bennett : cognitive scientist, inventor, short story writer
John Malcolm : autobiographer, biographer, memoirist
John Malcolm (professor) : cartographer, geophysicist, systems scientist
John Malkovich : autobiographer, fictional scientist, actres
John Manalo : comedian, television actress, television actor
John Mariano : video game actor, voice actor, fictional scientist
John Marley (geologist) : metallurgist, autobiographer, materials scientists and engineer
John Marriott (British politician) : autobiographer, biographer, memoirist
John Marriott (actor) : producer, novelist, short story writer
John Marshall (surgeon) : autobiographer, biographer, novelist
John Marshall Jones : video game actor, actres, musical theatre actor
John Martin Schaeberle : national academy, short story writer, discoverer
John Mason (governor) : explorer, governor, cartographer
John Mason Clarke : geologist, paleontologist, pseudoscientist
John Master : antiquarian, diarist, theologian
John Mathew : autobiographer, novelist, memoirist
John Matthew Rispoli : theologian, philosopher, autobiographer
John Matthews (physician) : autobiographer, biographer, memoirist
John Mauchly : computer scientist, inventor, fictional scientist
John Mawe : geographer, novelist, geologist
John Maxson Stillman : biographer, novelist, fictional scientist
John Maxwell (writer) : record producer, actres, novelist
John Maynard (actor) : radio actor, musical theatre actor, actres
John Maynard Smith : evolutionary biologist, cognitive scientist, autobiographer
John McCabe (writer) : playwright, novelist, autobiographer
John McCallum : autobiographer, prime minister, memoirist
John McCallum (Australian politician) : prime minister, autobiographer, explorer
John McCarthy (computer scientist) : cognitive scientist, cyberneticist, short story writer
John McConnell (actor) : short story writer, producer, singer-songwriter
John McGivern : musical theatre actor, short story writer, producer
John McGlinn : playwright, musical theatre actor, essayist
John McGlynn (actor) : autobiographer, songwriter, musical theatre actor
John McGuire (actor) : short story writer, director, autobiographer
John McHardy Sinclair : lexicographer, autobiographer, short story writer
John McIntire : radio actor, short story writer, actres
John McManners : autobiographer, biographer, theologian
John McMartin : musical theatre actor, musical theatre actress, playwright
John Medley Wood : botanist, botanists active, autobiographer
John Megna : actres, musical theatre actor, producer
John Melin : director, actres, record producer
John Mengatti : short story writer, musical theatre actor, video game actor
John Mercer (archaeologist) : geographer, paleontologist, geologist
John Merewether : antiquarian, landscape architect, horticulturists and gardener
John Merton Aldrich : national academy, autobiographer, ecologist
John Meurig Thomas : chemist, physical chemist, physicist
John Michael Bolger : actres, short story writer, autobiographer
John Michael Cullen : ornithologist, autobiographer, zoologist
John Michael Ferrari : record producer, producer, singer-songwriter
John Michael Manos : essayist, executive office, judge
John Micklethwaite : medical doctor, physician, autobiographer
John Miljan : fictional scientist, novelist, actres
John Millar Thomson : medical doctor, chemist, pseudoscientist
John Miller (engineer) : autobiographer, engineer, army officer
John Milne : geologist, autobiographer, pseudoscientist
John Milner Fothergill : medical doctor, memoirist, autobiographer
John Milnor : mathematician, systems scientist, national academy
John Minor Wisdom : autobiographer, lawyer, president
John Molony : autobiographer, biographer, essayist
John Moore (British actor) : video game actor, playwright, producer
John Moray Stuart-Young : autobiographer, novelist, biographer
John Morris (actor) : video game actor, fictional scientist, fictional pseudoscientist
John Morris (geologist) : geologist, paleontologist, earth scientist
John Morton (actor) : fictional scientist, video game actor, producer
John Mueller : short story writer, communication scholar, social sciences writer
John Munro (surgeon) : medical doctor, autobiographer, antiquarian
John Murray (actor) : actres, fictional scientist, video game actor
John Murray (science lecturer) : pseudoscientist, autobiographer, biographer
John Myhers : producer, actres, short story writer
John Myhill : cognitive scientist, systems scientist, mathematician
John Mylong : autobiographer, memoirist, producer
John N. Bahcall : national academy, physicist, astronomer
John N. Belkin : ecologist, national academy, biologist
John N. Erlenborn : marine, legal scholar, social sciences writer
John N. Shive : inventor, physicist, physical chemist
John N. Warfield : systems scientist, business theorist, cyberneticist
John Napier : pseudoscientist, autobiographer, biographer
John Nelder : statistician, cognitive scientist, systems scientist
John Nesbitt (announcer) : short story writer, fictional scientist, novelist
John Neter : cognitive scientist, psychologist, systems scientist
John Neville (actor) : autobiographer, playwright, musical theatre actor
John Newland : actres, fictional scientist, producer
John Nichols (journalist) : communication scholar, short story writer, social sciences writer
John Noakes : novelist, playwright, biographer
John Noble Wilford : short story writer, autobiographer, essayist
John Nolan (American actor) : video game actor, radio actor, musical theatre actor
John Nolen : executive office, autobiographer, landscape architect
John North (historian) : pseudoscientist, astrologer, geographer
John Nunn : chess player, master, biographer
John O'Hurley : musical theatre actor, fictional scientist, producer
John O. Simonds : landscape architect, horticulturists and gardener, geographer
